Start
-0.0004762157615905132,0.0014708239507703492
-0.0006671756428382452,0.0010679356416168086
-0.0010749014136741514,0.000108877252424271
0.0008756843089858745,0.00412057177947635
2.023588761511548e-05,0.001846185087379897
0.0012809221054241953,0.00014180837977809316,0.00011576935215161681,3.13818636945868e-05
1.9625227879906462e-05,0.0001810661267349399,8.266252812672188e-05,-0.00027144982852102056
0.0001119795305844445,9.431969003805864e-05,0.00021178309301403194,6.556094673303321e-05,0.0022452954684888133
0.00010457255390344975,7.034588381926912e-05,3.894326251365106e-05,0.00022899865158725112,5.2337880910741444e-05,0.0029745544119850354
0.00014273033575407573,9.549977135670463e-05,4.4656886765576456e-05,0.00023470515767952442,3.8529922452778045e-05,0.0037147184190191463
0.00015383531631001137,9.590870783512286e-05,3.3976866838496614e-05,0.00023594234104426412,2.8413271815576693e-05
0.0001593432874323011,9.257130160906604e-05,2.4948528397171835e-05,0.00023389753806043312,2.0866477134848585e-05
0.00016454538505089592,9.018128972821384e-05,1.902869954560106e-05,0.0002295906875990633,1.5377514682274676e-05
0.00016877950297344157,8.800061112534523e-05,1.4695938518343235e-05,0.00022370636788944469,1.1490315911419705e-05
0.0001725584945267278,8.6482038981165e-05,1.178942868373424e-05,0.000216926960449069,8.99982609303164e-06
0.00017620088764929776,8.590146476179714e-05,1.0114466787026002e-05,0.00020974553407676017,7.706599673753048e-06
0.0001804284235126222,8.69386895458858e-05,9.843910871972297e-06,0.00020305849620520889,7.833594279251302e-06
0.0001866977582848859,9.099705548588005e-05,1.1633639623408534e-05,0.00019833601314592315,1.0005273866965994e-05
0.00019913728533989166,0.00010208800604912382,1.780205754298332e-05,0.00019983733469638732,1.6697241284941225e-05
0.00024935419024836906,0.00015100798613809042,4.881693009142242e-05,0.00023965535803849842,4.959129736349828e-05
0.00017519809150127203,7.804930941499758e-05,-3.312426377787524e-05,0.00015354775815842352,-3.325426372022787e-05
0.0003652580397051431,0.00027380000190567856,0.00017013353306014924,0.0003364808066253751,0.00016999276665675446
0.00018874359110364726,9.863769327454668e-05,-2.6422053000848406e-06,0.00015857691474601305,-3.866991233668002e-06
0.00017101748731098928,8.295119337919303e-05,-1.7634867712555333e-05,0.00013521232974343382,-1.7089232251727912e-05
