Start
0.0006476278674118919
-5.327222544660934e-06,0.0020370083033098858
0.00010195548029014352,4.647816906343423e-05
6.637626877625986e-05,6.971702736670651e-06
4.689747780359417e-05,5.764676943183789e-05,5.486558386835934e-05
3.1445444230506284e-05,3.904178676080017e-05,2.585573686110683e-05
2.1072449945858303e-05,-8.810427233328297e-06,1.5521010844088457e-05,-7.845459949458108e-06
2.1265039312353093e-05,-8.830320435080849e-06,1.4146902808898857e-05,-7.858203157294283e-06
2.1488501797978727e-05,-8.837026227890774e-06,1.2791626350229586e-05,-7.863177365464644e-06
2.173200932460659e-05,-8.836169196111895e-06,1.1446606767936233e-05,-7.863785095761286e-06
2.1989267463966386e-05,-8.83091149517061e-06,1.010807599323122e-05,-7.860581234584926e-06
2.2258366057165936e-05,-8.823432657621352e-06,8.796879776157314e-06,-7.827012211468129e-06
2.253503156573769e-05,-8.819329321270095e-06,7.135886633669615e-06,-7.83976263615642e-06
2.281797504502228e-05,-8.807722101196111e-06,5.646333615891333e-06,-7.922124108493064e-06
2.3098310632168647e-05,-8.800560296727197e-06,4.343220082436704e-06,-7.903977473631627e-06
2.3378498302594603e-05,-8.793656349993448e-06,3.1120267098925477e-06,-7.893612941732228e-06
2.3658357794411418e-05,-8.785893726102542e-06,1.9574276903477574e-06,-7.883649698182602e-06
2.393639992431465e-05,-8.77770625362477e-06,8.758343166236403e-07,-7.874609633471905e-06
2.4211625052710978e-05,-8.76916367764484e-06,-1.3573136800827906e-07,-7.866420701730867e-06
2.4483143156836594e-05,-8.760327668831322e-06,-1.0802342120258786e-06,-7.859037980601988e-06
2.475055290695815e-05,-8.75037328129484e-06,-1.880093455807799e-06,-7.792778651925444e-06
2.501450773729903e-05,-8.737824817249204e-06,-2.6752470779908894e-06,-7.8262507943027e-06
2.5275767799703466e-05,-8.722841581708038e-06,-3.3619034222498013e-06,-7.846799217737718e-06
2.55326071555572e-05,-8.707951626203345e-06,-3.9614973027440615e-06,-7.86382036264792e-06
2.5785554884210006e-05,-8.69326988506107e-06,-4.484544399217132e-06,-7.877484723859893e-06
2.6034910479161315e-05,-8.679067811765903e-06,-8.242588809921278e-06,-7.888162158179965e-06
2.6280488156092604e-05,-8.658837578277498e-06,-7.844351717313167e-06,-7.3754556354736516e-06
2.6760594757320333e-05,-8.624538207850294e-06,-7.83089215007464e-06,-7.1110120373077674e-06
2.6995961461892488e-05,-8.611335838416487e-06,-7.817344024772452e-06,-6.973125057351683e-06
2.722928095740965e-05,-8.600238810217362e-06,-7.805767738620559e-06,-6.83698896598241e-06
2.746140501362378e-05,-8.59064585933926e-06,-7.795640018166614e-06,-6.701746710784798e-06
2.7693015857296074e-05,-8.58205142484185e-06,-7.786455598289208e-06,-6.5666613543311005e-06
2.7924570091667852e-05,-8.574130072365113e-06,-7.777891091379982e-06,-6.4312384775323145e-06
2.8156386806896195e-05,-8.566663521432025e-06,-7.76972945914882e-06,-6.2951305327172415e-06
2.838869230942691e-05,-8.559506245784873e-06,-7.76182599236501e-06,-6.158088964501275e-06
2.8621651271244368e-05,-8.552561098216713e-06,-7.754084104803424e-06,-6.019930953194472e-06
2.8855387302373574e-05,-8.545763200402609e-06,-7.746439353762888e-06,-5.880517467288304e-06
2.90899966252612e-05,-8.539069220837511e-06,-7.738848770045756e-06,-5.739738654724769e-06
2.9325557198130454e-05,-8.532450201713046e-06,-7.73128371123026e-06,-5.597504105033089e-06
2.956213477653512e-05,-8.525886781239264e-06,-7.72372512280843e-06,-5.453736390288082e-06
2.9799786953294593e-05,-8.51936601464591e-06,-7.716160350444354e-06,-5.308366741943335e-06
3.0038565854781542e-05,-8.512879236850443e-06,-7.708581026623015e-06,-5.161332183166768e-06
3.0278519929852e-05,-8.506420654750754e-06,-7.700981632162082e-06,-5.012573599342399e-06
3.0519695164998364e-05,-8.499986378527821e-06,-7.693358579306461e-06,-4.862034481783612e-06
3.0762135858105434e-05,-8.493573813382269e-06,-7.685709549466388e-06,-4.7096600511149255e-06
3.1005885182610254e-05,-8.487181208242586e-06,-7.678033087333766e-06,-4.55539670164701e-06
