0.0015121562263471378
-2.6112996514126435e-06
0.002926165840777333,-8.732897264688774e-06
0.0013800204038323261,2.7049959873976653e-06
-1.2628673595511605e-05,3.2273732163858385e-05
1.6853200434542928e-05,2.3106517596850965e-05
2.2040972089023073e-05,1.53422768625084e-05
1.142656502371893e-05,8.571633484557098e-06
6.617728864248898e-06,3.7852235073177615e-06
3.117154903755151e-06,4.874952683770611e-07
6.985000895205068e-07,-1.7787308268218255e-06
-9.313647632012631e-06,-7.611405809412565e-06,4.467478283401178e-06,-9.80839356467915e-06
-9.31354914987352e-06,-7.551965520360351e-06,4.589130781555189e-06,-9.806627739845572e-06
-9.313441491588456e-06,-7.4914189483956394e-06,4.7114566079634e-06,-9.8048703313907e-06
-9.313324728100689e-06,-7.429761531903456e-06,4.834461391401037e-06,-9.803121281638447e-06
-9.313198925621144e-06,-7.3669887077145135e-06,4.958150747750859e-06,-9.801380528319178e-06
-9.313064152969772e-06,-7.303095912173803e-06,5.082530271801387e-06,-9.799648011508608e-06
-9.312920476329742e-06,-7.238078582819804e-06,5.2076055409522735e-06,-9.797923668604033e-06
-9.312767966325117e-06,-7.171932157662842e-06,5.333382109857479e-06,-9.796207444135938e-06
-9.312606685586353e-06,-7.104652071660129e-06,5.4598655197650215e-06,-9.794499274502419e-06
-9.312436699339052e-06,-7.036233762252999e-06,5.587061287220454e-06,-9.792799103845382e-06
-9.312258079081578e-06,-6.966672670352238e-06,5.714974913281718e-06,-9.791106876598163e-06
-9.312070883933307e-06,-6.895964230901178e-06,5.843611886738794e-06,-9.789422525286959e-06
-9.31187518050762e-06,-6.824103883367311e-06,5.972977662519859e-06,-9.787746004586914e-06
-9.311671031365584e-06,-6.751087067745487e-06,6.103077693138351e-06,-9.786077250549183e-06
-9.31145850313446e-06,-6.676909226112222e-06,6.2339174050313505e-06,-9.78441620812058e-06
-9.311237656682222e-06,-6.601565798573389e-06,6.365502209523024e-06,-9.782762820471566e-06
-9.311008556387931e-06,-6.525052228093681e-06,6.497837496038389e-06,-9.78111703521349e-06
-9.310771260871362e-06,-6.447363956361038e-06,6.630928642789211e-06,-9.779478793226978e-06
-9.310525834095237e-06,-6.368496431322281e-06,6.764781005241561e-06,-9.777848042123376e-06
-9.31027233953656e-06,-6.288445100424631e-06,6.899399920404051e-06,-9.776224729097713e-06
-9.310010833580781e-06,-6.2072054080899504e-06,7.03479071691699e-06,-9.774608795460812e-06
-9.309741382882916e-06,-6.124772809412122e-06,7.170958691751573e-06,-9.773000196012724e-06
-9.309464039845491e-06,-6.041142748590963e-06,7.307909141670828e-06,-9.771398866693579e-06
-9.30917886618303e-06,-5.956310682260791e-06,7.445647331019272e-06,-9.7698047640659e-06
-9.30888592676031e-06,-5.870272069970257e-06,7.584178514690647e-06,-9.768217833936929e-06
-9.308585273022293e-06,-5.783022361553562e-06,7.723507932965386e-06,-9.766638022100024e-06
-9.308276967210857e-06,-5.694557020001048e-06,7.863640804599471e-06,-9.765065278400861e-06
-9.307961064781642e-06,-5.604871505249945e-06,8.004582332791888e-06,-9.763499553517782e-06
-9.307637623965845e-06,-5.513961279902019e-06,8.146337706960974e-06,-9.761940793715992e-06
-9.307306704243665e-06,-5.421821812512606e-06,8.288912095333688e-06,-9.760388955502505e-06
-9.30696835800375e-06,-5.3284485666687925e-06,8.432310658420937e-06,-9.758843981131846e-06
-9.306622645642235e-06,-5.23383701654642e-06,8.576538531031967e-06,-9.757305824862825e-06
-9.3062696195894e-06,-5.137982632130237e-06,8.721600836166026e-06,-9.755774439621986e-06
-9.305909336230697e-06,-5.04088088905325e-06,8.867502682667015e-06,-9.754249774769283e-06
-9.305541851077279e-06,-4.942527265932192e-06,9.01424916132384e-06,-9.75273178371698e-06
-9.305167217877816e-06,-4.842917242202584e-06,9.161845348950468e-06,-9.751220415797276e-06
-9.304785495210452e-06,-4.7420463032118874e-06,9.310296304083822e-06,-9.749715626171038e-06
-9.30439672796983e-06,-4.639909929103388e-06,9.459607070578125e-06,-9.748217369555043e-06
-9.304000978300683e-06,-4.536503614605932e-06,9.60978268164334e-06,-9.746725595295366e-06
-9.303598295094459e-06,-4.431822848605814e-06,9.760828147646585e-06,-9.745240260329233e-06
-9.30318873203044e-06,-4.325863124222053e-06,9.912748470239735e-06,-9.743761318013397e-06
-9.302772341552787e-06,-4.218619939736208e-06,1.00655486324923e-05,-9.742288722190337e-06
-9.302349176952204e-06,-4.11008879535885e-06,1.0219233602222105e-05,-9.74082243110179e-06
-9.301919286190327e-06,-4.000265192743836e-06,1.0373808337810076e-05,-9.739362394995885e-06
-9.301482722488472e-06,-3.889144638096943e-06,1.0529277776640052e-05,-9.737908572183748e-06
-9.301039541454934e-06,-3.776722645423261e-06,1.0685646842620536e-05,-9.736460919519335e-06
-9.300589785652888e-06,-3.66299471851383e-06,1.0842920446032041e-05,-9.735019395272146e-06
-9.30013351063512e-06,-3.5479563779656893e-06,1.1001103488967193e-05,-9.73358394838579e-06
-9.299670764779597e-06,-3.4316031421138006e-06,1.1160200846193243e-05,-9.732154545137248e-06
-9.299201596991644e-06,-3.313930530750292e-06,1.1320217387689615e-05,-9.73073114108984e-06
-9.29872606090891e-06,-3.194934072604588e-06,1.1481157972971876e-05,-9.729313687379879e-06
-9.298244198386804e-06,-3.0746092891063957e-06,1.1643027433369807e-05,-9.727902150256582e-06
-9.297756063951154e-06,-2.9529517172979345e-06,1.1805830598464588e-05,-9.726496487115141e-06
-9.29726170163618e-06,-2.829956888240096e-06,1.1969572283695933e-05,-9.72509665177028e-06
-9.2967611637889e-06,-2.705620343360481e-06,1.2134257282743183e-05,-9.723702608653226e-06
-9.296254493083508e-06,-2.579937619340485e-06,1.2299890382360667e-05,-9.72231431649144e-06
-9.2957417410066e-06,-2.452904265018447e-06,1.2466476355355535e-05,-9.720931733998503e-06
-9.295222953785084e-06,-2.32451582656817e-06,1.2634019959477533e-05,-9.719554821664353e-06
-9.29469817623034e-06,-2.194767853813316e-06,1.2802525939889263e-05,-9.718183539007483e-06
-9.294167454999488e-06,-2.0636559018927383e-06,1.2971999026459996e-05,-9.716817851014234e-06
-9.293630839788888e-06,-1.9311755316906958e-06,1.3142443939205777e-05,-9.715457716342676e-06
-9.293088370608202e-06,-1.7973222993036099e-06,1.3313865384153842e-05,-9.714103097245227e-06
-9.292540100304045e-06,-1.6620917751636568e-06,1.3486268055715716e-05,-9.712753954211825e-06
-9.291986066582367e-06,-1.5254795222506412e-06,1.3659656632565517e-05,-9.711410250424699e-06
-9.291426317890525e-06,-1.3874811143135305e-06,1.3834035780040802e-05,-9.710071952480012e-06
-9.290860902190154e-06,-1.2480921286956391e-06,1.4009410160079077e-05,-9.70873901430351e-06
-9.290289855854936e-06,-1.1073081375916228e-06,1.4185784406654101e-05,-9.70741140869473e-06
-9.289713231315153e-06,-9.65124729405393e-07,1.4363163156015594e-05,-9.70608909356234e-06
-9.289131066790232e-06,-8.215374843252108e-07,1.4541551021625943e-05,-9.704772036432316e-06
-9.288543409311997e-06,-6.765419936970789e-07,1.4720952613922183e-05,-9.703460197350508e-06
-9.2879502993342e-06,-5.30133848062088e-07,1.4901372522899362e-05,-9.70215354435637e-06
-9.287351780752282e-06,-3.8230864263814365e-07,1.5082815331141796e-05,-9.700852040979077e-06
-9.28674789712862e-06,-2.3306197657056512e-07,1.5265285607800096e-05,-9.699555653107025e-06
-9.286138691553744e-06,-8.238945339005262e-08,1.5448787910881015e-05,-9.698264346475957e-06
-9.285524203107506e-06,6.971332474659455e-08,1.5633326788565827e-05,-9.696978085170158e-06
-9.284904477489461e-06,2.2325074538525856e-07,1.5818906773256762e-05,-9.695696835841303e-06
-9.284279555167238e-06,3.7822719837553435e-07,1.6005532389001625e-05,-9.694420564752487e-06
-9.283649474721087e-06,5.346470691538804e-07,1.6193208145221032e-05,-9.693149241705654e-06
-9.283014281947707e-06,6.925147348023269e-07,1.6381938544022005e-05,-9.691882829827511e-06
-9.282374014525294e-06,8.518345770519627e-07,1.6571728074924407e-05,-9.690621297185273e-06
-9.281728715599888e-06,1.0126109672394142e-06,1.67625812137091e-05,-9.689364613553117e-06
-9.281078424237463e-06,1.1748482786858307e-06,1.695450242867681e-05,-9.688112743376151e-06
-9.280423178588057e-06,1.3385508805351479e-06,1.714749617366761e-05,-9.686865658718388e-06
-9.279763023143858e-06,1.5037231321058278e-06,1.734156689569371e-05,-9.685623324926992e-06
-9.279097993737315e-06,1.6703693996135923e-06,1.7536719027292773e-05,-9.684385711803897e-06
-9.278428131793623e-06,1.8384940385605118e-06,1.7732956991523948e-05,-9.683152788706947e-06
-9.27775347904329e-06,2.0081014022837214e-06,1.793028520157926e-05,-9.68192452498011e-06
-9.277074068709742e-06,2.179195846562847e-06,1.8128708060311802e-05,-9.680700888246505e-06
-9.276389943980654e-06,2.3517817167136628e-06,1.832822995628053e-05,-9.679481853137537e-06
-9.275701141188072e-06,2.5258633591760427e-06,1.8528855274366787e-05,-9.678267383279524e-06
-9.275007701632296e-06,2.701445113450968e-06,1.873058838179938e-05,-9.677057455135737e-06
-9.274309661367816e-06,2.8785313207741434e-06,1.893343364187969e-05,-9.675852035843577e-06
-9.273607056254837e-06,3.0571263179820136e-06,1.9137395403767647e-05,-9.674651097800122e-06
-9.272899930813303e-06,3.23723443240474e-06,1.9342478009226306e-05,-9.673454609988516e-06
-9.272188313353899e-06,3.418860001461635e-06,1.9548685787667495e-05,-9.672262546235252e-06
-9.271472250145171e-06,3.602007342768408e-06,1.9756023057234282e-05,-9.671074880713768e-06
-9.27075177404972e-06,3.786680785764644e-06,1.9964494136430555e-05,-9.66989157792468e-06
-9.270026920108962e-06,3.97288465002282e-06,2.0174103317767106e-05,-9.668712617870098e-06
-9.269297730483614e-06,4.160623250299822e-06,2.038485489561435e-05,-9.667537970379711e-06
-9.268564234108864e-06,4.349900905710158e-06,2.0596753155627444e-05,-9.666367604783607e-06
-9.2678264744777e-06,4.540721923100377e-06,2.080980236561473e-05,-9.665201498488749e-06
-9.267084487117258e-06,4.733090611079503e-06,2.1024006788707712e-05,-9.664039625668572e-06
-9.266338299574947e-06,4.927011282170097e-06,2.1239370682694962e-05,-9.662881954362532e-06
-9.265587961103036e-06,5.122488228869073e-06,2.14558982878374e-05,-9.66172846372619e-06
-9.264833497056243e-06,5.319525759119322e-06,2.1673593841634264e-05,-9.660579125768051e-06
-9.264074944293973e-06,5.518128169400683e-06,2.1892461569094787e-05,-9.659433916063206e-06
-9.263312341840566e-06,5.718299749587166e-06,2.2112505689760355e-05,-9.65829280623158e-06
-9.262545721767587e-06,5.920044795742279e-06,2.2333730410501926e-05,-9.657155773055634e-06
-9.261775119491153e-06,6.123367594908962e-06,2.255613993032176e-05,-9.656022792235361e-06
-9.261000570191455e-06,6.328272433311369e-06,2.2779738440117485e-05,-9.654893839290343e-06
-9.260222108438063e-06,6.534763595730364e-06,2.300453012445846e-05,-9.653768886284594e-06
-9.259439767607056e-06,6.742845361950808e-06,2.323051915281501e-05,-9.652647914080645e-06
-9.258653583586393e-06,6.95252201124408e-06,2.3457709694282755e-05,-9.651530893812696e-06
-9.257863587503953e-06,7.163797819273339e-06,2.368610590167868e-05,-9.650417806426545e-06
-9.257069815816685e-06,7.376677058593117e-06,2.3915711925391147e-05,-9.649308624791117e-06
-9.256272301303922e-06,7.591164000800378e-06,2.4146531905608357e-05,-9.648203326688073e-06
-9.255471076883778e-06,7.80726291327324e-06,2.4378569971846473e-05,-9.647101889552132e-06
-9.254666178513601e-06,8.02497806139142e-06,2.4611830249333437e-05,-9.646004290207386e-06
-9.25385763637758e-06,8.244313710923212e-06,2.4846316852569656e-05,-9.64491050647713e-06
-9.253045483837916e-06,8.465274121752727e-06,2.5082033888228467e-05,-9.643820516614873e-06
-9.252229753673943e-06,8.68786355280651e-06,2.5318985459263956e-05,-9.642734295265895e-06
-9.25141048059401e-06,8.912086258875526e-06,2.5557175651921352e-05,-9.641651824694383e-06
-9.25058769562885e-06,9.137946494445427e-06,2.5796608553986322e-05,-9.640573080059098e-06
-9.249761433014966e-06,9.365448512017342e-06,2.6037288240074514e-05,-9.639498040890301e-06
-9.248931721160189e-06,9.594596561844198e-06,2.6279218777543486e-05,-9.638426687661947e-06
-9.248098596035745e-06,9.82539488962701e-06,2.6522404228352344e-05,-9.63735899775324e-06
-9.247262086077221e-06,1.0057847742926412e-05,2.676684864596698e-05,-9.636294949292787e-06
-9.246422228990567e-06,1.0291959360351868e-05,2.701255607498539e-05,-9.635234524239464e-06
-9.245579050602346e-06,1.0527733987868071e-05,2.7259530555772832e-05,-9.63417769938961e-06
-9.244732584135981e-06,1.0765175862391393e-05,2.7507776118022558e-05,-9.633124455675143e-06
-9.243882859831173e-06,1.1004289221407195e-05,2.775729678472484e-05,-9.632074774902286e-06
-9.243029916767773e-06,1.1245078294615401e-05,2.8008096574415183e-05,-9.63102863571312e-06
-9.24217377187668e-06,1.1487547325968426e-05,2.8260179496997104e-05,-9.62998601727709e-06
-9.241314470774184e-06,1.1731700534133349e-05,2.8513549553589487e-05,-9.628946901358779e-06
-9.24045203399941e-06,1.1977542158163723e-05,2.876821073856661e-05,-9.62791127201261e-06
-9.239586498342375e-06,1.2225076417920122e-05,2.9024167044484756e-05,-9.626879103883865e-06
-9.238717890490064e-06,1.2474307544504125e-05,2.9281422449744867e-05,-9.625850383205778e-06
-9.237846246385947e-06,1.2725239755708513e-05,2.9539980930124982e-05,-9.624825090938025e-06
-9.236971586971607e-06,1.2977877280941776e-05,2.979984645660143e-05,-9.623803204779e-06
-9.236093953866528e-06,1.3232224332348438e-05,3.0061022987119294e-05,-9.622784710184781e-06
-9.235213368928227e-06,1.3488285134174452e-05,3.032351447700075e-05,-9.621769591515103e-06
-9.23432986543564e-06,1.3746063900729272e-05,3.0587324878639775e-05,-9.620757825288748e-06
-9.233443475363187e-06,1.4005564845420302e-05,3.085245812996967e-05,-9.619749398183039e-06
-9.23255422180351e-06,1.4266792187844433e-05,3.111891817122747e-05,-9.618744287951883e-06
-9.23166214162989e-06,1.452975013248565e-05,3.1386708925677663e-05,-9.61774248486695e-06
-9.230767261001957e-06,1.4794442894638735e-05,3.165583432262158e-05,-9.616743964933547e-06
-9.229869610617378e-06,1.5060874681632614e-05,3.1926298273846776e-05,-9.615748715731051e-06
-9.228969217954172e-06,1.5329049702517064e-05,3.219810469380535e-05,-9.614756718579962e-06
-9.228066114140218e-06,1.559897216183158e-05,3.2471257486527184e-05,-9.6137679570351e-06
-9.227160327583347e-06,1.587064626447648e-05,3.27457605479514e-05,-9.612782415636609e-06
-9.226251888481626e-06,1.6144076213964298e-05,3.302161777296241e-05,-9.611800078744223e-06
-9.225340824368586e-06,1.6419266212461427e-05,3.329883304825674e-05,-9.610820929982153e-06
-9.224427163665935e-06,1.669622046166242e-05,3.357741025600675e-05,-9.609844952017041e-06
-9.22351093745992e-06,1.6974943158890316e-05,3.385735326783768e-05,-9.608872132400512e-06
-9.222592171937924e-06,1.7255438505353946e-05,3.413866595819198e-05,-9.607902451190184e-06
-9.22167089600738e-06,1.7537710696586113e-05,3.44213521836791e-05,-9.606935899892852e-06
-9.220747141143112e-06,1.7821763926273887e-05,3.4705415808846624e-05,-9.605972457705711e-06
-9.219820931381448e-06,1.8107602393475032e-05,3.499086068383698e-05,-9.605012110764852e-06
-9.218892299099266e-06,1.839523028901779e-05,3.527769065387986e-05,-9.604054847634977e-06
-9.21796126741696e-06,1.8684651808559874e-05,3.556590956255349e-05,-9.603100650885585e-06
-9.217027869169378e-06,1.897587114000131e-05,3.585552124619191e-05,-9.602149506416843e-06
-9.216092132792106e-06,1.9268892474517275e-05,3.614652953412085e-05,-9.601201401266898e-06
-9.215154081807994e-06,1.9563720005767087e-05,3.643893825404237e-05,-9.600256319448539e-06
-9.214213746873076e-06,1.9860357919111134e-05,3.673275122126564e-05,-9.599314252149369e-06
-9.21327115466046e-06,2.0158810403157208e-05,3.702797225894079e-05,-9.598375177553506e-06
-9.212326335770668e-06,2.0459081645139205e-05,3.732460516912372e-05,-9.59743908945758e-06
-9.211379312866128e-06,2.076117583265184e-05,3.7622653759504696e-05,-9.596505972762556e-06
-9.210430117033083e-06,2.106509714900159e-05,3.7922121832542075e-05,-9.595575810593046e-06
-9.209478776235278e-06,2.1370849778508015e-05,3.822301317946706e-05,-9.594648594067265e-06
-9.208525314953128e-06,2.167843790858542e-05,3.8525331591788446e-05,-9.59372430896048e-06
-9.207569761969167e-06,2.1987865719709212e-05,3.8829080854284263e-05,-9.592802942435738e-06
-9.206612143984258e-06,2.2299137395158115e-05,3.913426474680594e-05,-9.591884483363053e-06
-9.205652492528735e-06,2.2612257114921818e-05,3.944088704558283e-05,-9.590968917073603e-06
-9.20469082621271e-06,2.2927229065748492e-05,3.9748951520946175e-05,-9.590056232909247e-06
-9.203727179272689e-06,2.3244057422909374e-05,4.005846194036844e-05,-9.589146416686886e-06
