Start
-0.0004762157615905132,0.0014708239507703492
-0.000678319195504198,0.003992009405712637
0.0006557440436674045
-0.001213871292369937,0.0001629271758753787
-0.0018611444939013854
0.001059076004989308
7.083978644197193e-05
-0.0007260979200804808,7.190503110153686e-05
-0.0029754064804938807
-0.00021817593436712483
0.0014498381416732254
-6.7198548266058505e-06
-6.223951098675641e-06,-0.0005472775819283949
0.002137569549563576
0.0017816613248415893
-3.1543675302688964e-05
0.0004002160444483028
-1.4669163538321914e-05
7.724483478050765e-05,-0.00077524923611017
0.0022559164170436966
-2.1684466590113013e-05
0.00021391117613876916
-8.014500002566025e-06
-1.5698868635503557e-05
9.55449303063783e-05
-5.223745918268505e-06
-3.0186515791504748e-06
3.1015574348378036e-07,-0.0005243263724497031
0.0022035325507989718
0.0002566470487865586
1.2268700968301807e-05
8.242729374575834e-06,-0.00038447432686774586
0.002830225007780988
0.0011155076008286784
-8.947981781324936e-05
0.0015636484716296795,0.0015591610470149179,0.001720628832914144
8.798036365565463e-05,8.423112262190106e-05,0.00016367617461132862
4.751879727135839e-05,3.201827773558451e-05,2.1821648776622696e-05
5.569829515661052e-05,3.060360042827538e-05,2.4736534663937285e-05
9.608576146097897e-05,6.6094782463803e-05,3.1530977679260566e-05
5.821422185784442e-06,-2.291139844933822e-05,5.2331091191295045e-05
0.00025275946582981745,0.00022658000705466814,2.2503448986483515e-06
2.0939322034488364e-05,-8.441572811228662e-06,-8.734983128129079e-06
2.7002253434889208e-05,-3.2774205262885853e-06,-3.220348035124984e-06
2.827864959218316e-05,-3.3213470038758602e-06,-4.102891287825414e-06
2.9396716253084137e-05,-3.7936664039114193e-06,-5.138783810252831e-06
3.0619077587124855e-05,-4.348739463417087e-06,-6.034479405279611e-06
3.201937513401523e-05,-4.8576138966995724e-06,-6.732457960676938e-06
3.359939376838527e-05,-5.281265972349408e-06,-6.526350913702364e-06,-7.239389914868652e-06
3.780356682458306e-05,-3.123659682999537e-06,-5.687941807561506e-06,-7.518675755545032e-06
4.103198387829787e-05,-2.0003982419011294e-06,-5.900516962384014e-06,-7.767035749893167e-06
4.433296020719466e-05,-8.428395963897675e-07,-6.095707101526002e-06,-7.895516966211977e-06
4.7723394465627673e-05,3.742820131544373e-07,-6.2470992083871885e-06,-7.953678496040381e-06
5.118703291179301e-05,1.6401957505606054e-06,-6.364473003084639e-06,-7.962692913697153e-06
5.47607205864418e-05,2.9924270070988375e-06,-6.413581835175777e-06,-7.936294514674855e-06
5.8356870943093214e-05,4.347850154006851e-06,-6.474077669278364e-06,-7.889011889304284e-06
6.199142567701322e-05,5.725190890782631e-06,-6.525622042530613e-06,-7.824062338691526e-06
6.580042101528969e-05,7.2366710037026855e-06,-6.48468109765328e-06,-7.742776936254733e-06
6.957842409092755e-05,8.695974112595866e-06,-6.5149939445559996e-06,-7.660940834831528e-06
7.34014895275119e-05,1.0180493549493418e-05,-6.5388029104451045e-06,-7.57375709281409e-06
7.726566419962541e-05,1.1686645256476839e-05,-6.559443434426063e-06,-7.483889141525132e-06
8.116974464634343e-05,1.3213496911933845e-05,-6.577643357324678e-06,-7.392371116824933e-06
8.51128935081127e-05,1.4760405838730702e-05,-6.593866093347264e-06,-7.300005069097934e-06
8.905973039199853e-05,1.629055555101795e-05,-6.646034185859781e-06,-7.207810532204248e-06
9.297820329514078e-05,1.7767754702064092e-05,-6.774023102678814e-06,-7.113386954372622e-06
9.705182584361247e-05,1.9379437431439353e-05,-6.787933171764973e-06,-7.014761601585248e-06
0.00010117220609331276,2.101641904211015e-05,-6.796785904995481e-06,-6.919251585702987e-06
0.00010533547763401495,2.267498394566315e-05,-6.804098888099977e-06,-6.8245058801857245e-06
0.00010954109930084916,2.4354743251820723e-05,-6.810064705242355e-06,-6.730517712270553e-06
0.00011378869368869087,2.605545044118423e-05,-6.814739268222111e-06,-6.637369556845504e-06
0.0001180779117247312,2.777687091497576e-05,-6.81817212312523e-06,-6.5451238009228e-06
0.00012240842781134837,2.9518781368570518e-05,-6.820406653897451e-06,-6.4538222577219945e-06
0.00012677993780046759,3.128097062948275e-05,-6.821478847779741e-06,-6.3634897402697205e-06
0.0001311921562218442,3.306323880803127e-05,-6.821417804182481e-06,-6.274137899218643e-06
0.00013564481350837688,3.4865395818883176e-05,-6.820246947874739e-06,-6.1857686663984585e-06
0.00014013765366739414,3.6687259931289955e-05,-6.817985277908847e-06,-6.098376956543625e-06
0.0001446704324277822,3.852865651615224e-05,-6.814648463521547e-06,-6.011952772734183e-06
0.00014924291582700075,4.0389417046173734e-05,-6.8102497301544135e-06,-5.926482730579316e-06
0.00015385487916288318,4.226937833542093e-05,-6.804800534854563e-06,-5.841951201233583e-06
0.00015850610624551628,4.416838199509174e-05,-6.79831103567001e-06,-5.758341081059035e-06
0.0001631963888172008,4.6086274000788766e-05,-6.790790471051036e-06,-5.67563437246614e-06
0.00016792552615728826,4.8022904407247466e-05,-6.78224739945367e-06,-5.59381257782092e-06
0.0001726933247721721,4.9978127122971304e-05,-6.772689878470697e-06,-5.512856968507493e-06
0.00017749959816926706,5.195179975242393e-05,-6.762125589041337e-06,-5.432748785725791e-06
0.00018234416667587975,5.3943783472010374e-05,-6.7505619216565865e-06,-5.353469362699356e-06
0.00018722685730351854,5.595394294464187e-05,-6.738006024025953e-06,-5.2750002310763405e-06
0.00019214750361687004,5.798214623425565e-05,-6.724155736199306e-06,-7.218455815092076e-06,-5.197323167156417e-06
0.0001987933209156598,6.173972594570616e-05,-4.984923211548899e-06,-6.7169484021228215e-06,-5.082035181359565e-06
0.00020498473137071682,6.502495715863689e-05,-3.7264528894219485e-06,-6.696811914135362e-06,-5.024237136328977e-06
0.00021121732714748657,6.834356798774666e-05,-2.43638197071117e-06,-6.642187821320408e-06,-4.953138192263437e-06
0.00021745255326086475,7.165266802666973e-05,-1.162761736405011e-06,-6.606974625405701e-06,-4.883901053574433e-06
0.0002239424083996343,7.517240592399403e-05,2.7547057447624045e-07,-6.4551933622678664e-06,-4.810967616048975e-06
0.00023032447439202757,7.856341384166288e-05,1.5692961842437692e-06,-6.459406741704879e-06,-4.744315950972952e-06
0.00023677771954927097,8.20070519183089e-05,2.9010489669002866e-06,-6.437566206990777e-06,-4.676030633142189e-06
0.00024327747343101075,8.547833414297047e-05,4.2457431912048654e-06,-6.414391870756056e-06,-4.608295613757127e-06
0.0002498224149807327,8.897588343207541e-05,5.602052843209561e-06,-6.391076513572944e-06,-4.540856995955897e-06
0.00025620893534858066,9.228845368314893e-05,6.753286638168236e-06,-6.587812717758282e-06,-4.473627270627431e-06
0.0002628586634614136,9.58447245689711e-05,8.131822934867764e-06,-6.571489373335612e-06,-4.399530941555027e-06
0.00026956698647164954,9.943798127897793e-05,9.53058490881486e-06,-6.548037539971449e-06,-4.330596777386493e-06
0.000276327814181727,0.00010306217531184459,1.094363660273173e-05,-6.523232673352405e-06,-4.26180454726581e-06
0.00028314062304920747,0.00010671685156259655,1.2370643828385733e-05,-6.4972563074122e-06,-4.1932078616007534e-06
0.00029000507661320046,0.00011040171634235504,1.3811425473072177e-05,-6.470130261551285e-06,-4.124907379885953e-06
0.00029692085094481526,0.0001141164689186568,1.5265785880924553e-05,-6.44188803298161e-06,-4.056981307563531e-06
0.00030388764021758367,0.00011786081250802211,1.6733526970145374e-05,-6.412565333615769e-06,-3.989486815332219e-06
0.0003109051593780075,0.0001216344605517159,1.8214455395498982e-05,-6.382194427825491e-06,-3.9224629844025055e-06
0.0003179731435598778,0.00012543713852917213,1.970838503726158e-05,-6.350802489894433e-06,-3.855934625150367e-06
0.0003250913463344908,0.00012926858382130465,2.1215137372889203e-05,-6.3184116936270546e-06,-3.7899158227393953e-06
0.0003322595377509063,0.00013312854484735025,2.2734540995645823e-05,-6.285039950036306e-06,-3.724412880127745e-06
0.0003394775025600557,0.00013701678004375507,2.4266430882328008e-05,-6.250701760862273e-06,-3.6594265802169373e-06
0.0003467450387425656,0.00014093305691919428,2.5810647669489703e-05,-6.2154089979209876e-06,-3.5949539005496883e-06
0.0003540619563199862,0.000144877151240404,2.736703701244111e-05,-6.179171551544058e-06,-3.5309892465456433e-06
0.0003614280764325712,0.0001488488463821873,2.893544907430321e-05,-6.141997825217724e-06,-3.4675253466464467e-06
0.0003688432306202413,0.0001528479328110147,3.051573812444705e-05,-6.10389510424629e-06,-3.4045538843657103e-06
0.0003763072602516246,0.00015687420766974543,3.210776222103935e-05,-6.064869835000972e-06,-3.3420659379650858e-06
0.0003838200160732365,0.00016092747445018785,3.371138296958979e-05,-6.024927814670886e-06,-3.280052284669252e-06
0.00039138135840076425,0.00016500754360170282,3.532646648487603e-05,-5.984072943594418e-06,-3.218504185593593e-06
0.00039899115492050624,0.00016911423023975217,3.6952881036403495e-05,-5.9423096170265616e-06,-3.1574125858146312e-06
0.00040664928102878084,0.00017324735439329085,3.859049721062981e-05,-5.899642654605061e-06,-3.0967684592191763e-06
0.0004143556204713666,0.00017740674172883372,4.023918870274113e-05,-5.856076454638023e-06,-3.0365630949696215e-06
